	baseMean	log2FoldChange	lfcSE	pvalue	padj
ELFN1-AS1	225.43002034944476	5.329961222673085	0.5920010399271027	1.2925181193734942e-20	8.942071189198959e-18
NOTUM	1680.213284958293	9.857597545930028	1.1027859508346702	1.568879039881821e-20	1.0419867031279102e-17
CEMIP	3172.0659607529383	5.71344041831005	0.6404742614825458	2.5399531079522532e-20	1.62205313093997e-17
LEMD1	75.70866242014657	5.807270847080735	0.6506771751523046	3.06814277474263e-20	1.8867941715491345e-17
FXYD5	2424.8689081003345	2.1591972985287775	0.2411622869812687	3.877403589255213e-20	2.299300328428341e-17
SLC13A3	291.8035542540121	5.188483513068816	0.592281605303546	8.534074252929339e-20	4.723325629854625e-17
FOXQ1	1216.8083066795155	7.081462403039103	0.8059127702206864	8.357828980951683e-20	4.723325629854625e-17
TACSTD2	977.2379479410426	5.533336345895335	0.6304816510214118	8.998048277455646e-20	4.8194707612539855e-17
COMP	810.4380405166712	7.095956933210512	0.8170396423327447	1.4574871789076195e-19	7.56253659955691e-17
PRR36	285.59991468423345	4.631233749776325	0.5338034368503355	2.318079071232494e-19	1.1663449969316463e-16
SHISA2	104.10491952670414	4.058079902380548	0.4691860529606698	3.9304583175494417e-19	1.919450879546792e-16
NR3C2	2233.8783643897823	-3.647043349902968	0.42311842219187945	4.426985885690559e-19	2.100162104171601e-16
SULT1B1	4756.776802441005	-3.7599968508196517	0.43482162692954296	4.872311335897686e-19	2.247218261701255e-16
CNTD2	192.63772917998295	6.123647293681803	0.7152345092529528	5.177263657895584e-19	2.2621917309394285e-16
MT1F	1092.6519824960603	-3.1877187507540565	0.37083508876790655	5.143324827227161e-19	2.2621917309394285e-16
SNHG17	1499.6671987247998	3.1979648513969954	0.37106341255800307	5.368820435171634e-19	2.2857408847587127e-16
MMP7	1008.7281742202758	7.668131565138079	0.8981360006030087	6.305853206643502e-19	2.6175596660777176e-16
SULT2B1	1364.9562529154634	5.535773227958531	0.6472007780138093	6.492582353052097e-19	2.6293374973189515e-16
INHBA	656.2055914605887	5.464960576747008	0.6410237017535615	7.805113175056362e-19	3.0856214085389483e-16
WNT2	206.73871331293992	6.059846052090446	0.7160422361822237	9.729175238568877e-19	3.756819201423201e-16
LMTK3	217.88488137304375	3.449026221457468	0.4059638160573848	1.4395019432476581e-18	5.311442281263137e-16
CGREF1	755.3378572164663	3.8564759381346962	0.45502119251850215	1.419603820689266e-18	5.311442281263137e-16
HAGHL	536.7145841151221	4.8741089048563895	0.5835698214038052	3.9086107628714504e-18	1.4108385457982079e-15
TMEM236	1777.8982438101498	-4.466462515151162	0.5356898645208095	4.329873061951626e-18	1.529642815332868e-15
MSX2	323.75236495045743	5.636784383541051	0.6836692772203649	7.099034665170242e-18	2.4556744079268064e-15
CITED1	63.729787907931986	4.02225516288839	0.48611975941041446	7.369480497161643e-18	2.4972011056096308e-15
TRIB3	3044.952389805809	4.981151294649536	0.6172090478760114	3.898454181930216e-17	1.294598664735386e-14
CLCA4	14972.317082654048	-7.29785318793353	0.9205910382092298	8.930814436450881e-17	2.907592998094714e-14
HHLA2	3630.017384312735	-3.582533466210801	0.450369499383617	1.0924226765044412e-16	3.488189638592258e-14
GYLTL1B	1217.3285213440677	4.807893410029839	0.6052621469677338	1.118212875421078e-16	3.5031710534889767e-14
GTF2IRD1	1724.1319876405605	2.5609654699682602	0.3258939826187449	3.1854630151643313e-16	9.444897839962242e-14
PRR7	321.24716045226245	4.262331262230959	0.5452861297674422	3.15788673527389e-16	9.444897839962242e-14
TNFRSF12A	1469.6362729845566	3.2620969479510764	0.41564077165542007	3.1246109597239714e-16	9.444897839962242e-14
MNX1-AS1	136.89766612231932	3.19091551498745	0.410179875028664	5.333369163536802e-16	1.553601080550264e-13
S100A2	131.15054436202828	3.7425055751433747	0.48499917217521216	6.427718387209532e-16	1.8401006224349495e-13
AMH	188.07378590312817	5.7441138334759385	0.7470746602965543	7.662250202659677e-16	2.1563390231349368e-13
AJUBA	374.8942910934182	2.760178766213353	0.3578564890858944	9.020800882966119e-16	2.4963562976794906e-13
P2RY1	925.7252348529074	-3.0048071758712376	0.3927042474967646	1.3097699255829256e-15	3.565150794160475e-13
BEST4	1347.4299364620242	-5.663850511151855	0.743672484690036	1.510194930156378e-15	4.044399454889758e-13
SLC25A34	281.6383931938972	-4.3188598180990265	0.5683212508539573	2.1821079049106397e-15	5.75106661160893e-13
REEP6	571.2765225119767	2.382141031232331	0.3138530555564199	2.8883708294487238e-15	7.493517070651033e-13
TOP1MT	1448.1040204638573	1.964603818745959	0.25848386250600736	3.322643746518397e-15	8.487565656490995e-13
CST2	59.70988177508948	6.5360783962953315	0.87117646687664	3.673925377479936e-15	9.242705601163159e-13
LGALS9C	376.50494942096077	-3.9304730385877797	0.5288238624832852	5.8249862669966345e-15	1.4435533130927183e-12
SULT1A2	283.3323181313085	-3.724525943424096	0.5039023911919449	1.0535394835891558e-14	2.5724955272815213e-12
SLC4A11	142.27355812378238	3.877760609077264	0.5281454046048177	1.3678929932308614e-14	3.291665979652931e-12
SIM2	174.4169308695493	3.946155879605912	0.5411855784408168	1.7535996951219143e-14	4.159538476829181e-12
PLEKHN1	75.79491451019176	3.6396570060227704	0.4976407302910407	2.0081896718358394e-14	4.696335395938349e-12
ULBP2	89.62243384018096	5.299909970138523	0.7317293026822344	2.4617059006779394e-14	5.676967329841182e-12
FAM83H-AS1	649.9444398940236	2.817815053552184	0.3871685610512736	2.6170769527353084e-14	5.952595304550282e-12
RHPN1	933.0673694637595	4.169211903964786	0.5763889777037707	2.7543115307397722e-14	6.180079548162592e-12
RAET1L	54.97479142597513	6.956310246695069	0.9456801507490041	3.0989704402871774e-14	6.8607073587371056e-12
LPHN3	156.08590031321816	-3.122794805536216	0.43258352411014434	3.165246096181923e-14	6.915229760658506e-12
EPHX4	128.97373469450545	4.314511139046052	0.6018056714659502	3.8725484166322034e-14	8.243563321764244e-12
KLK10	2348.1156069538033	6.915966330469735	0.9668318030798698	3.8231420409714754e-14	8.243563321764244e-12
CA7	1830.3752134341496	-5.300856782669278	0.7440442848138933	4.619980210815427e-14	9.710145749415107e-12
DDN	74.68311863398348	4.456137492227253	0.6219852317343431	5.735969156013688e-14	1.190500398330641e-11
SLC26A2	25119.54913757695	-5.138688809805308	0.7254993191982755	6.626377615789147e-14	1.358325604105716e-11
KLHL35	762.3796985966856	6.287633367913276	0.8900939264522229	7.425928946219874e-14	1.5036600515004245e-11
PPP2R3A	537.544812769842	-2.248458469261734	0.31412864296619913	7.911419688670019e-14	1.582665210972012e-11
VWA2	1628.591072395546	6.228248915284413	0.884210556972511	8.99375142557868e-14	1.777764865122719e-11
CORIN	77.08446265170942	4.088938091612901	0.5831795741390259	1.1227988831816781e-13	2.1932885478057157e-11
AZGP1	2582.682863446148	4.387770247924431	0.623855399872201	1.1378386801362804e-13	2.1968224936026513e-11
LINC00858	35.95431311935903	5.737582456624984	0.8216103813436052	1.218991275142684e-13	2.326451854306796e-11
MT1E	4025.620797100593	-4.179750015809122	0.5962203508032384	1.239013414861232e-13	2.3377930386768062e-11
USP2	540.919404508047	-4.271037333839421	0.6099667991548698	1.3705651002863243e-13	2.5285403250171254e-11
RP11-350J20.12	134.13641977771198	6.944302151607889	0.9914795472329501	1.3575724491982563e-13	2.5285403250171254e-11
FSIP2	179.4885522503385	-4.066893316872321	0.5926105973509391	1.9381635555892353e-13	3.536403041428974e-11
BMP5	196.75825138069118	-3.6576747194356267	0.5346029041735938	2.341622489029783e-13	4.2261195443315775e-11
SEMA6D	1088.1008304663198	-3.970099173164274	0.5760487309438712	2.9154698296502483e-13	5.2052108657540564e-11
MT1M	1037.3951561728077	-4.748693208428255	0.6938119669568156	3.55845046236253e-13	6.2855863273476e-11
IGFL4	38.52475832908588	4.955908263785769	0.7188807120161373	3.6155300304081855e-13	6.31918532893658e-11
PALM3	126.17010131005885	3.545265049108029	0.5160503662962551	4.2059142135513863e-13	7.274479125188252e-11
TMEM82	234.26750073233308	-2.9033740640860426	0.420291178117977	4.417697983905486e-13	7.562005909769761e-11
LINC00659	32.196733777499645	6.512339468599593	0.9238655249971648	5.808517416087564e-13	9.84128807925693e-11
SLC4A4	4701.304064065101	-5.556738803682322	0.8292785380526022	9.485756353479793e-13	1.590924227203823e-10
MDFI	230.17662490810483	3.6981642378949897	0.551629333764083	1.2474367652811916e-12	2.0684928889304755e-10
GRHL3	185.74797065556422	4.8952554253324205	0.7335551049333513	1.2680101836490274e-12	2.0684928889304755e-10
CCDC68	949.3696858776738	-3.43921115485566	0.5127862042648053	1.270695462966204e-12	2.0684928889304755e-10
MAPK15	164.58866514044448	4.594590708390788	0.6872109083553402	1.3220575346391978e-12	2.1305851965864656e-10
HOXB8	1828.6166708479354	4.796497851142787	0.7172513827172444	1.3345028935497014e-12	2.1305851965864656e-10
STRA6	155.50607390433237	4.530203534769671	0.676986690967361	1.3613230237756429e-12	2.1527054749305497e-10
ACADSB	1095.0218419028972	-1.538436523112157	0.2253202090427309	1.433569305077787e-12	2.224578013225381e-10
LRRC19	2458.021460982233	-2.979069431016867	0.4447092135054105	1.4236994193276426e-12	2.224578013225381e-10
SALL4	73.55836643980032	4.801035709955503	0.7205898172408846	1.6718596745927573e-12	2.570329447864643e-10
ABCC13	130.71280625370542	-4.27578617941696	0.6581171642632284	2.126220464586191e-12	3.238877485687075e-10
UGT1A10	667.4647780588076	-4.470802306783293	0.6845718082054313	2.696418277621802e-12	4.0334530704173335e-10
ADTRP	1988.3553538057618	-3.828835610664652	0.5825954460024344	2.689245376764253e-12	4.0334530704173335e-10
CEL	580.903416672597	5.538876421675754	0.8449972079897351	2.7836533707074368e-12	4.126766122073775e-10
TMPRSS13	360.3274301908508	4.342285600948111	0.6611885386056535	2.9022188290718235e-12	4.2644638440627037e-10
GUCA2A	8106.691334252259	-5.226139599510308	0.8049710504127	4.078128199527518e-12	5.939757949557448e-10
RP11-353N14.4	57.437629445446525	3.8931624364470307	0.5972707909544293	5.325217403561063e-12	7.688687805976339e-10
UGT2A3	1688.3472260977974	-4.820330401293712	0.7495393823694008	5.4864757331661255e-12	7.853227851162961e-10
ABCG2	768.8911642602206	-4.183933406834206	0.6463587202416856	5.7233608610559156e-12	8.122280661279694e-10
GAD1	46.41892109467398	4.555717533617875	0.7014982142258736	6.046628041441739e-12	8.508323050855815e-10
TGFBI	32688.171730341594	4.027871214284596	0.6262910049599542	7.260034095209065e-12	1.0129882866962295e-09
TMEM132A	931.9539125864469	2.5461027499508226	0.3935297598088526	8.247315038980515e-12	1.141153490893604e-09
SMOX	771.8694162305917	3.1040055326210596	0.4838887666178517	9.419799660615439e-12	1.2926144922715599e-09
CST1	664.1714361449774	8.718863384176162	1.3751107755591692	1.0415660932367748e-11	1.417554378041263e-09
C2orf88	1861.1180184114064	-3.411444983876455	0.5337946944810846	1.0726068708278529e-11	1.447932071806965e-09
C2orf70	257.4940626588762	4.409230286050792	0.6929156236346611	1.1194673084304074e-11	1.4990028378369745e-09
C6orf223	910.7162517946053	5.07285717009805	0.8026556156351118	1.2920464911613353e-11	1.7162511951394248e-09
CEBPB	1724.8432189252237	2.048034506476173	0.31739927292005754	1.3958054418449247e-11	1.839361393364534e-09
MSX1	139.91288282516766	3.7409561165350844	0.5938675784814107	1.7796975802994647e-11	2.326779419156875e-09
TMEM191A	209.7043352902261	2.837083492368357	0.44890763165836284	1.8684553646783945e-11	2.423736943368755e-09
ASCL2	2393.7683742749978	3.993650528358307	0.6356350481831761	1.9300430746651158e-11	2.484219783855782e-09
FER1L4	557.7798239134721	3.619686663414426	0.5758400156924934	2.0022360419642116e-11	2.5573174800595206e-09
SLC26A3	56020.76192825626	-4.911728500813101	0.7913751584820623	2.540824710500483e-11	3.1960495070568194e-09
LYPD3	162.6808923950859	2.8249610084416448	0.44990907834276855	2.536057094964467e-11	3.1960495070568194e-09
VPS9D1-AS1	223.9259634640783	2.3964794608393296	0.38031627718790845	2.5730193850835564e-11	3.2122115691674714e-09
DPF3	134.64374493981063	-3.003374061665296	0.48094947846239144	3.040464413603547e-11	3.767453068915918e-09
DHRS2	85.2837903236505	4.6039613706588804	0.7411143726169723	3.32776154464378e-11	4.09290019905669e-09
CCDC85B	1006.0826649841933	2.601676501183283	0.4169180309142565	3.599942496269265e-11	4.395106265298153e-09
GOLT1A	283.83242260259533	2.3005956013872177	0.36840826137878463	3.759583316059163e-11	4.556505210207763e-09
MAFG-AS1	111.2281431730829	3.0495009074310317	0.49300066803021836	3.9317098874476194e-11	4.730587751534802e-09
KIF5C	164.3715492265775	-3.0996261225406787	0.49938179890607015	3.992483400399522e-11	4.7691506748369545e-09
CLDN2	1536.4825302241784	6.165198218022728	1.006848876653525	4.090146185268371e-11	4.850913375728288e-09
TLX1	94.66232649692564	4.8600917315926635	0.7905435141036562	4.205600338875748e-11	4.952467235935668e-09
ACSL6	656.7922725034399	4.715507489725084	0.769022778260697	4.495327409729742e-11	5.256367345855819e-09
SFTA2	30.753118053449416	8.022963706078293	1.5529908403997763	4.6882979704932305e-11	5.443671293851021e-09
RP11-703I16.1	39.824452756173216	-2.6502038522595712	0.42553755547946054	5.321480844300551e-11	6.135963051303218e-09
TPGS1	201.32461279127563	2.288427651409594	0.370471324938699	5.876731866976396e-11	6.729465925467317e-09
SPTBN2	959.730410475815	3.5982153296379873	0.5888734375247234	6.124721621991357e-11	6.965402589831814e-09
FRMD3	592.3139749750893	-3.67923180851623	0.6025872774958199	6.316819558645698e-11	7.134998091955998e-09
SLC11A1	351.65420848000514	3.5175903891275633	0.5775631803841315	6.634682436554517e-11	7.443396430848055e-09
RP11-329L6.2	366.9820946550146	5.974091561365639	0.9916990882651895	7.561263851718055e-11	8.369814999595105e-09
ANK3	1148.1432860974942	-2.012410981727935	0.32662668166631176	7.525843049462253e-11	8.369814999595105e-09
CD177	9435.722055649201	-6.381240874091849	1.0644367007003877	7.769185286581725e-11	8.537635545641561e-09
MROH6	765.1415126448381	2.740965800516899	0.4490281126380436	7.815710689818821e-11	8.537635545641561e-09
ADRA2C	326.0856506822638	4.0456459448883155	0.6696384542206602	8.28940772381596e-11	8.995903650081059e-09
GCNT2	367.3213775589506	-3.6581864577801055	0.6030262680743985	8.497014674899348e-11	9.161326731300569e-09
TMEM211	260.65512015906273	5.608061537468061	0.9356629905737611	9.094201020024978e-11	9.741942821709339e-09
ZP3	544.2124212216681	2.9082665956662646	0.4797660983976647	9.54089739519973e-11	1.0154939766018995e-08
PRKG2	218.37002613391493	-3.7245225732795695	0.6170058556459401	1.1990677047037508e-10	1.2681095648981578e-08
CA2	20749.231831464997	-4.255111268058083	0.7101082205801048	1.296399703577387e-10	1.362368397354363e-08
CTHRC1	654.1344610992112	3.90961394916	0.6556305795962769	1.3667441087094157e-10	1.4272590679881219e-08
MRGBP	992.6378187198919	1.6073639473686767	0.2627121007468619	1.4286111628910793e-10	1.4825412342902177e-08
TRPM6	2027.916774834834	-4.585439020288375	0.7743757418975997	1.4580510502160453e-10	1.5036943874402e-08
SFRP4	1099.7480433240646	3.7607050953011414	0.6327818304080896	1.5958120562080698e-10	1.6356088506962215e-08
ITGBL1	150.61014961450104	3.4219750304119483	0.5764661805908121	1.686363275411506e-10	1.6983986985532986e-08
ZNHIT2	416.68254955261995	1.3841354445673761	0.2257771372345007	1.6877606917688165e-10	1.6983986985532986e-08
GOLGA7B	302.08691198546904	2.951941356293132	0.49505023626019995	1.6815860722428854e-10	1.6983986985532986e-08
RP11-372E1.1	171.04032053412442	5.65468537545644	0.9602432784129042	1.7106048747146134e-10	1.7110170686603276e-08
SLCO4A1	2309.0526131002575	4.006784283659168	0.6769960880163881	1.7716624299616912e-10	1.761478023178678e-08
ARHGAP44	1495.200999038038	-2.611352307961512	0.43785276294207626	1.855569454048556e-10	1.8339211437513227e-08
PRKACB	3133.5318208171425	-2.6629301114825874	0.4492152440577265	2.2278447635909384e-10	2.188824523944612e-08
DKC1	3655.9189848868496	1.3835653166956283	0.22905052013555274	2.2890103736328984e-10	2.2356898966941555e-08
CTD-2147F2.1	56.244073153204994	7.259216703962501	1.2079159186271613	2.676136822122381e-10	2.5985132043578958e-08
KLK6	708.8438968857531	8.510494073081254	1.4787255491635136	2.708542257838603e-10	2.6146881191367537e-08
BLACAT1	92.25903964031336	4.998536975903287	0.855535902470354	2.9061837296981167e-10	2.789264430514886e-08
AHCYL2	8811.289569049464	-2.7157184827745233	0.4623059844095879	3.08046627288919e-10	2.9395437928190873e-08
ASPG	285.4319069892294	-4.595337850978814	0.8029584309380677	3.478933292679648e-10	3.3008119080944495e-08
NXPH4	242.36442288238035	5.703446523200159	0.9880549533741136	3.5427188824464374e-10	3.342233200235264e-08
CTU1	287.890445920951	2.9242539052277383	0.5007297030672635	3.5879295025135224e-10	3.3657616643917814e-08
WNT3	80.55861360803449	2.770581216971773	0.47422175879328043	3.6445764784922874e-10	3.399693699375614e-08
TRIM29	934.6731256267125	3.2454356152053325	0.557029157808256	3.7261184594398076e-10	3.448739516359881e-08
EXOSC5	1389.439734179579	1.9887780656300684	0.3363205028003988	3.7386961752877536e-10	3.448739516359881e-08
SLC6A6	1855.0491880181662	2.3619265710400557	0.40192927817199386	3.8609872129447513e-10	3.5412297167133065e-08
GDPD5	963.8261369131848	3.137943228032585	0.5386382614227858	3.881617733328245e-10	3.5412297167133065e-08
BCL2	534.5756303377548	-2.3954485527457496	0.40907967785556426	3.9454790940557275e-10	3.5798215780164646e-08
MIR503HG	38.07204251322898	3.3143134414996926	0.5709147546535803	4.203449485306444e-10	3.772652716433956e-08
PIGN	861.4362603935255	-1.310384331956432	0.21771778543761672	4.1847298887742335e-10	3.772652716433956e-08
PLAC8	6000.747098904735	-4.227542443684857	0.7349477381978677	4.402469990135893e-10	3.930032887968622e-08
ULBP3	50.28664930991863	2.890582738630719	0.49852613818883384	4.5490263129978786e-10	4.0391461444394e-08
ASPHD1	203.04509111223294	2.5107574863746054	0.4307411334148524	4.711486697234836e-10	4.161144953238682e-08
TMEM74B	186.27720714363963	3.5191868251814435	0.6096637753818317	4.777757892378772e-10	4.197348785452758e-08
PVRL3	1037.3369601446582	-1.8156634067029451	0.3093962218116669	5.172928206399597e-10	4.520594733634679e-08
LY6G6C	116.10960771916349	4.948692383105476	0.8668441884001664	6.160475802554783e-10	5.355420954220922e-08
GABRE	915.0515911059849	3.1330803608444406	0.5457616474710956	6.211730045493852e-10	5.371852378926037e-08
TFR2	218.7075327174018	3.9016773852799735	0.6830734917792206	6.373441074273907e-10	5.483140704520412e-08
NANOS3	148.6228768004924	5.168434787687069	0.914440190504563	6.414290804728752e-10	5.489839408335887e-08
CEACAM7	45388.574153542955	-5.21658773007315	0.9237468198486893	6.755140435381373e-10	5.751915476362682e-08
IL6R	1315.3789475700555	-2.714388074324108	0.4731812122288518	6.960949864726646e-10	5.896918956832715e-08
HIST3H2A	714.8205021067147	3.2989758733577452	0.5775952656129899	7.187298231914206e-10	6.057761413335203e-08
MET	3257.082512141903	1.8255034238702132	0.31313174488131595	8.304632013014949e-10	6.964146966873748e-08
UNC93A	110.66431746173657	4.4097871294126545	0.7803383776699352	8.725186738201716e-10	7.280050281462376e-08
SH3PXD2A-AS1	183.47222513727357	3.8411998874912636	0.6779087165354819	8.806007217658507e-10	7.310747192100093e-08
RP5-884M6.1	28.210399600905756	5.928849335882611	1.0263868545182369	8.970580664327526e-10	7.41032444529822e-08
RP11-776H12.1	40.89671194997574	3.8127208752628716	0.6766079775130001	9.495390677947853e-10	7.805023109734958e-08
XDH	3685.4890616105613	-3.797798178750906	0.677556312655027	9.697868558556534e-10	7.908852201666699e-08
ZC3H12C	572.6738449724636	-2.2298271200276205	0.38976760028000945	9.71697090544451e-10	7.908852201666699e-08
EDN3	1123.3585112063292	-3.323301105005856	0.5878023182147514	9.934254758581024e-10	8.046261756657528e-08
PVT1	265.60204750234146	2.624811511567943	0.46188396708309976	1.0062783851044619e-09	8.110799177803147e-08
UGP2	7737.684408867334	-2.3707472599595056	0.4160185083846573	1.0133587871908257e-09	8.128410291070758e-08
CCAT1	102.50040482674835	3.890048935050547	0.6917176529943512	1.0365773420162605e-09	8.274677974441341e-08
RP11-474D1.3	280.0245804966457	7.89012692428649	1.4197798089614586	1.139402220893514e-09	9.051978218045888e-08
SCAND1	2627.9872969846765	1.639735927013377	0.28342237456659647	1.1594036958245148e-09	9.16701855498583e-08
SUCLG2	5590.009302903218	-1.62911435581334	0.2827126279802718	1.1742104673771464e-09	9.24009033191002e-08
AFF3	195.32799474447862	-3.1451194632191584	0.5585254347045551	1.1832159544776814e-09	9.26703665478652e-08
SRPX2	1328.7869101905997	4.090001498454981	0.7317328393976432	1.2098399233330747e-09	9.431071402357922e-08
HTR1D	149.29289730793195	4.789353457867151	0.8609240710720111	1.2184779236867654e-09	9.454022170511707e-08
ANPEP	19430.946705473467	-4.926771032379099	0.8930821615746694	1.4613378018085977e-09	1.1285605981967421e-07
FJX1	119.73184701982926	3.1659962294284685	0.5662008383848239	1.499998030331617e-09	1.1530540414641745e-07
FER1L6	403.57651380490785	-3.400037686370801	0.6088249261198323	1.5381881644363033e-09	1.1769620406590036e-07
LIFR	611.3831724987367	-3.583718923215112	0.6454145617568395	1.6708410080775822e-09	1.2725983531247787e-07
FUCA1	5135.359882867042	-1.6407467481619045	0.2884689343746874	1.8019793094109387e-09	1.3624108513345242e-07
SLC35D1	2899.3011057447166	-1.8275326556857872	0.32301537969420246	1.8051697620669439e-09	1.3624108513345242e-07
NMB	162.31967246625328	1.9838100717088782	0.3515807030804265	1.871837906734605e-09	1.406334687937619e-07
SGPP1	708.4654275272728	-1.6436657226086213	0.2893913716608028	1.94218946648183e-09	1.4526177433092028e-07
RPSAP58	579.9449166002954	-3.0060239589212134	0.5447148582941503	2.1270360665367166e-09	1.5837357331289524e-07
PPP1R35	687.8354358277468	1.6353699188576936	0.288580533038957	2.1487385301389445e-09	1.5927524354654926e-07
LINC01356	23.65205321989845	3.3664900310766686	0.6063288174827551	2.1711971740318033e-09	1.6022470167832915e-07
RPL35P2	107.24315453652902	4.301318835143254	0.7891002339079326	2.347413055432973e-09	1.7124240381078756e-07
HAPLN1	243.56929082361995	-2.9817079406460056	0.5414453682518928	2.3514374890905543e-09	1.7124240381078756e-07
PDZD7	54.39478098436113	2.8276098264842497	0.5096623533179264	2.350141781080001e-09	1.7124240381078756e-07
NBEAL1	455.3238492745734	-1.9658735269262888	0.3515808208077718	2.4103258193076576e-09	1.7476441006019365e-07
LINC00460	19.74608625833903	6.498988099548295	1.2154705424726668	2.4450473224355746e-09	1.7651115539878384e-07
CCNO	297.4654831824677	3.595865137093838	0.6573714040225689	2.587939208769031e-09	1.8569986992486355e-07
NKD2	631.243942087409	4.532499589706847	0.8330451955394745	2.594698254792119e-09	1.8569986992486355e-07
GLP2R	251.08199390712258	-3.3771764778182027	0.6163779414190795	2.697362026192631e-09	1.913974319782156e-07
KREMEN2	103.01023466417428	3.0412391055065155	0.5508031243947156	2.6952301214411324e-09	1.913974319782156e-07
BBOX1-AS1	89.26528025446784	5.437753797808786	1.0010551698046513	2.804464502746891e-09	1.9815033448344417e-07
ZNF579	432.8301552360752	2.0614552485857125	0.3725354252679582	3.1039778587008316e-09	2.1838325578757883e-07
CBX2	307.1849712239553	3.160768440186591	0.5796530972461807	3.1457101107568456e-09	2.2038553029116738e-07
FOXP4-AS1	62.77230832939487	2.5078530526230742	0.4556962824942027	3.222386233769003e-09	2.248088278382375e-07
MLXIPL	890.6723609789833	3.1168255419933977	0.5716479457175361	3.3030808289272314e-09	2.2947428486823326e-07
C19orf45	116.87989379056064	2.8949869711183664	0.5306789671187706	3.3308930581763495e-09	2.3044228474150047e-07
WDR74	1205.9518198902103	1.6904763843107475	0.30323051677524215	3.468205702462038e-09	2.389464210941065e-07
PRSS33	337.5496204687242	5.770229197269288	1.0782280705878546	3.5235976695805167e-09	2.4175956903187977e-07
C1orf115	2098.265522242617	-2.217308258674851	0.4039481382058144	3.6472266953515496e-09	2.4921214835233384e-07
MFAP2	538.5690717854823	2.996460724749351	0.552888203778701	3.988279821064743e-09	2.7139917274163523e-07
DGAT2	732.5308330992904	2.6458366340888273	0.4868626722381266	4.114234952812693e-09	2.7769413478252827e-07
ZADH2	1532.7552461690482	-1.2409475059848205	0.22036843086939986	4.112872542054176e-09	2.7769413478252827e-07
GRB7	1703.9359031512467	2.321964384675648	0.42445744789579876	4.145958093394601e-09	2.787023813065747e-07
RP11-783K16.5	55.65568105053058	3.0945187435841173	0.5723641381775525	4.2559481318230305e-09	2.849425918580226e-07
SLC7A5	5056.946305522095	3.574431753432279	0.663968379616761	4.3151041534354194e-09	2.877429291712518e-07
ABHD3	2286.6398679482445	-2.2695260895733447	0.4173376200770229	4.432086946719997e-09	2.943614866533553e-07
SEMA6A	1911.4315695777527	-2.8604872183027497	0.5294943827945994	4.451049156554931e-09	2.944431083483589e-07
PDE3A	1518.5358211617975	-2.9142850712897697	0.5410596532485916	4.577468033712072e-09	3.016042826656954e-07
OLR1	236.70979983998916	4.504877010761979	0.8448775227800729	4.698471892370063e-09	3.071394775626477e-07
XKRX	148.3700866420389	2.672246744607358	0.4941093376590299	4.696477621211185e-09	3.071394775626477e-07
